,kepid,logB,SNR,period,epoch,transit_duration,err_period,err_epoch,err_tau,radius,radiusp,radiusm,num_available_transits,radius_star,mass,teff,mass_err_high,mass_err_low,E_Teff,e_Teff,logg,E_logg,e_logg,feh,E_FeH,e_FeH,radius_err_high,radius_err_low,insol,hz,strict_hz,pvalue
0,7362237,85.11259264413565,14.791933941967727,95.71106014548448,191.36476718176908,0.2334911325604816,0.0007452034146078,0.0045541609938798,0.0027125324209665,1.816,0.113,0.098,3,1.131,1.105,6066.2,0.057,-0.069,108.9,-108.7,4.374,0.028,-0.037,0.011,0.129,-0.133,0.024,-0.024,8.712170023061937,False,False,0.26595744680851063
1,7684808,82.1346124216604,14.576856580769787,95.7209134397951,159.82397260024956,0.4885403318975774,0.0008825584209622,0.0044150453290871,0.0042682288759097,1.9,0.126,0.099,4,1.467,1.051,5764.4,0.102,-0.079,111.9,-112.1,4.124,0.048,-0.048,0.034,0.165,-0.164,0.045,-0.043,12.361834872509176,False,False,0.005742993206345937
2,8109544,75.57394062697976,14.279294373476224,141.34456057503303,390.4012332887488,0.1429281449602498,0.0012320023439301,0.0066584472018556,0.0027358768486431,2.645,0.149,0.159,3,1.401,1.125,6016.6,0.07,-0.083,117.8,-117.8,4.193,0.036,-0.04,-0.035,0.133,-0.13,0.028,-0.03,7.610993831018887,False,False,0.03171275741888982
3,10876097,60.44520874128693,13.185687170635402,120.89148123073711,325.3032437088664,0.1122214118856028,0.0007648441101323,0.0034078475071878,0.0032101258800445,4.323,0.357,0.353,3,0.727,0.745,4793.7,0.041,-0.04,92.1,-86.3,4.585,0.03,-0.035,-0.041,0.133,-0.135,0.032,-0.032,1.3403907431312048,True,False,0.041330446304695824
4,6608492,58.69866630693328,12.87649960347576,164.29098479347013,347.2093882782822,0.3906032021165578,0.0016691291979885,0.003294680884066,0.0031512534512182,4.259,0.478,0.433,3,1.714,1.047,5582.8,0.079,-0.077,113.2,-108.5,3.976,0.071,-0.067,0.024,0.157,-0.169,0.156,-0.146,7.441587304782078,False,False,0.015605742424851965
5,9718313,55.2223804686721,12.62844628707303,63.51993598539941,189.62894363157267,0.2398251185879904,0.0004146454742649,0.0065760471190387,0.005589257194012,4.04,0.369,0.346,7,1.805,1.101,5687.0,0.078,-0.075,118.8,-114.0,3.958,0.057,-0.054,0.025,0.153,-0.17,0.116,-0.11,30.15748518494433,False,False,0.01567700243658979
6,8263901,52.7244040170161,12.505368533643786,67.65801781809051,575.2831980598611,0.1295957877763578,0.0005591672192323,0.0015586583359108,0.0014801684101591,4.29,0.379,0.353,4,0.898,0.883,5423.1,0.06,-0.062,120.8,-115.5,4.472,0.051,-0.062,-0.007,0.141,-0.153,0.054,-0.047,6.520892439003547,False,False,0.010211748819560655
7,6151933,47.946730510459545,12.033127867267073,98.05485669513868,315.58128593016414,0.5155739561339168,0.0003578779138332,0.0036771415217475,0.0029247166770476,2.54,0.18,0.163,4,1.503,1.29,6410.1,0.067,-0.071,152.1,-144.8,4.187,0.043,-0.04,0.006,0.165,-0.189,0.064,-0.065,16.926845062467024,False,False,0.054195340858410136
8,8035000,47.82650194843313,12.4996124614788,189.2782683932781,170.53011047978896,0.7743359609489016,0.0032672777164238,0.0058071380677307,0.0055948873572365,1.951,0.151,0.115,4,0.674,0.648,4143.7,0.015,-0.014,64.3,-87.9,4.589,0.019,-0.015,0.269,0.115,-0.109,0.017,-0.018,0.387698834122184,True,True,0.003340813843018804
9,3219572,43.43377742995944,11.709832054231512,55.389616170170086,197.77475130740686,0.0724104405214178,0.0001850078208857,0.0022431618901318,0.0022312261893933,3.138,0.239,0.247,6,0.673,0.689,4488.0,0.03,-0.028,81.6,-78.4,4.618,0.021,-0.024,-0.021,0.12,-0.116,0.02,-0.02,2.6265310015412133,False,False,0.006158742695009863
