TIC,TOI,Period,Phase,Tau,SNR,Radius_planet,Mass,Radius,logg,FEH,Teff,Number of Valid Transits,Has Visible TTVs,log10(p value),log10(p local),n_period_bins,μ(SNR | null),σ(SNR | null),sm_sf_grid,Epoch,Duration,err_Period,err_Epoch,err_Duration,Radius_planet_errp,Radius_planet_errm,passed_all_tests,failed_tests,nst_samples,known_as
2876,3131.01,2.6274808539146166,0.5746073062073405,0.0407049624672087,35.78703368012431,18.559,1.01755,1.1746,4.29795,-0.383171,6217.26,6.0,False,-9.1114,-10.819,51.0,4.7501,0.733734,-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0001|-0.0001|-0.0001|-0.0002|-0.0003|-0.0004|-0.0006|-0.0008|-0.0011|-0.0016|-0.0023|-0.0033|-0.0047|-0.0067|-0.0097|-0.0139|-0.0199|-0.0287|-0.0412|-0.0591|-0.0848|-0.1211|-0.1720|-0.2423|-0.3376|-0.4637|-0.6258|-0.8277|-1.0710|-1.3533|-1.6685|-2.0062|-2.3543|-2.7014|-3.0395|-3.3648|-3.6764|-3.9751|-4.2618|-4.5380|-4.8046|-5.0625|-5.3126|-5.5554|-5.7916|-6.0216|-6.2457|-6.4643|-6.6778|-6.8864|-7.0902|-7.2895|-7.4845|-7.6754|-7.8622|-8.0451|-8.2242|-8.3996|-8.5715|-8.7399|-9.9637|-11.0074|-11.9064|-12.6980|-13.4145|-14.0792|-14.7074|-15.3085|-15.8884|-16.4510|-16.9990|-17.5342|-18.0579|-18.5713|-19.0751,3775.8754146812257,0.0814099249344174,0.0003334379734079,0.0017344190907001,0.0019372018165492,1.093,1.017,True,,5.083342|3.921738|5.465093|4.923509|5.433854|4.740873|4.697498|5.469420|5.763800|3.828248|4.904692|4.743630|4.793030|3.919014|5.527134|5.235812|4.332755|4.113873|4.269550|4.296598|3.646414|3.675379|5.208095|5.439679|6.068854|6.044069|3.538516|3.742484|5.419509|4.642519|4.072504|4.960164|4.620254|4.215216|3.765157|3.978769|5.715767|4.976451|3.832996|5.881814|5.430665|3.956860|5.560186|4.993503|5.282519|4.936625|5.524693|4.725179|3.602389|4.068459|3.841809|6.203902|5.524960|5.662325|4.018851|3.715786|5.050741|3.939562|4.644898|4.318067|4.635239|4.503780|5.207464|5.517639|5.213760|5.175193|4.929204|3.668398|4.739911|3.442914|5.895409|5.168690,
4711,3129.01,2.334739266191338,0.0059726609498889,0.0373956182533644,56.46059453824487,16.022,1.19667,1.31669,4.27578,-0.0298874,6370.59,6.0,False,-9.0722,-10.7798,51.0,4.5277,0.526226,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0001|-0.0001|-0.0002|-0.0003|-0.0005|-0.0008|-0.0013|-0.0021|-0.0034|-0.0055|-0.0090|-0.0148|-0.0243|-0.0400|-0.0659|-0.1077|-0.1728|-0.2692|-0.4045|-0.5842|-0.8099|-1.0773|-1.3759|-1.6911|-2.0076|-2.3137|-2.6028|-2.8733|-3.1260|-3.3633|-3.5873|-3.8003|-4.0041|-4.2002|-4.3896|-4.5734|-4.7523|-4.9269|-5.0977|-5.2651|-5.4295|-5.5911|-5.7501|-5.9069|-6.0615|-6.2141|-6.3649|-6.5139|-6.6613|-6.8071|-6.9515|-7.0944|-7.2361|-7.3765|-7.5157|-8.5850|-9.5987|-10.5679|-11.4997|-12.3991|-13.2699|-14.1151|-14.9371|-15.7376|-16.5185|-17.2811|-18.0266|-18.7561|-19.4704|-20.1705,3775.306744969345,0.0747912365067288,0.0001305325947028,0.0007497520772957,0.0011680762022976,0.834,0.76,False,spurious|single_transit,4.116669|5.090684|5.155421|4.019728|4.508115|4.410857|3.816139|4.895777|4.947225|4.376549|4.111143|3.826783|3.990462|3.922709|4.269050|4.979538|4.884872|4.985637|5.152816|5.440951|4.470452|4.479048|4.596633|3.855991|4.244366|3.955781|4.371280|5.435607|4.345772|4.139911|3.961242|4.288220|4.114478|5.018100|4.522587|3.841246|5.287976|5.009449|4.169680|4.841321|4.733958|4.380421|4.113522|4.084859|3.948288|4.625120|3.984527|5.035925|4.101450|5.360360|5.130448|3.980415|4.316590|4.498737|5.055238|4.512640|5.105575|4.444944|5.299925|4.363863|5.455703|4.058388|5.667408|4.000780|3.884240|4.897820|3.719242|5.320227|5.150797|4.629555|4.748306|4.478727|5.462480|3.796085|4.504576|4.407314|4.794692|4.188004|4.347449|3.838391|4.092455|5.502016|4.054433|5.072625|5.017283|3.363048,
17361,3127.01,3.6065480517563966,0.4966074134053092,0.0348583451715542,109.09190102056353,11.776,1.11238,1.11444,4.38543,-0.0118574,6093.98,17.0,False,-19.8847,-21.8847,100.0,5.1669,0.263404,0.0000|0.0000|0.0000|0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0004|-0.0017|-0.0085|-0.0432|-0.1855|-0.5054|-0.9319|-1.3828|-1.8278|-2.2609|-2.6821|-3.0926|-3.4933|-3.8852|-4.2689|-4.6451|-5.0143|-5.3770|-5.7337|-6.0845|-6.4300|-6.7703|-7.1057|-7.4364|-7.7627|-8.0848|-8.4028|-8.7169|-9.0272|-9.3339|-9.6371|-9.9370|-10.2336|-10.5271|-10.8175|-11.1050|-11.3897|-11.6715|-11.9507|-14.0829|-16.0789|-17.9603|-19.7430|-21.4395|-23.0597|-24.6115|-26.1016|-27.5356|-28.9183|-30.2539|-31.5460|-32.7976|-34.0116|-35.1906,1600.568679410893,0.0697166903431084,9.228035229736218e-07,0.0003356717302875,0.0004903648504721,0.582,0.532,True,,4.996629|4.759065|5.328009|5.153784|5.532694|4.842458|4.917794|5.233050|4.976307|5.174099|5.071611|5.225196|5.757524|5.137568|4.923776|5.338019|4.962508|5.059937|5.308742|5.268323|5.292480|4.959785|4.889847|5.229345|4.339593|4.923261|5.094206|4.897365|5.426033|5.416527|5.095677|4.885700|5.023791|5.013560|5.260521|5.250434|4.902437|4.989323|5.070492|5.110134|5.129854|5.426917|5.130447|4.916123|5.482065|5.031334|5.415750|5.533654|5.050895|5.385342|5.145547|5.447548|4.948242|4.790887|5.478794|5.155069|4.960317|5.424056|5.193301|5.245379|4.980375|5.238490|5.546297|5.017662|5.001420|5.247480|6.090646|5.179313|5.152071|4.920955|5.626016|4.949004|4.891276|5.930340|4.856691|5.023263|5.004065|5.359105|5.245263|4.935404|5.673086|5.589273|5.237980|5.243977|5.293566|5.071620|5.456647|4.736111|5.313692|5.434743|4.969639|5.063899|5.060471|5.007807|5.542802|5.169323|4.838891|5.269278|5.068197|5.120765,
47667,6560.01,17.20505753252413,7.02961875201095,0.0285574069237155,33.52356518651905,9.248,1.2903,1.46045,4.20269,-0.0725104,6470.6,4.0,False,-11.6918,-13.6918,100.0,5.0932,0.313454,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0003|-0.0008|-0.0027|-0.0091|-0.0308|-0.1003|-0.2753|-0.5796|-0.9701|-1.3901|-1.8073|-2.2113|-2.6011|-2.9780|-3.3435|-3.6988|-4.0451|-4.3832|-4.7138|-5.0375|-5.3549|-5.6664|-5.9723|-6.2730|-6.5688|-6.8600|-7.1468|-7.4295|-7.7082|-7.9831|-8.2543|-8.5222|-8.7866|-9.0479|-9.3061|-9.5614|-9.8138|-10.0634|-10.3103|-10.5547|-10.7966|-12.6393|-14.3581|-15.9740|-17.5025|-18.9550|-20.3408|-21.6671|-22.9399|-24.1644|-25.3447|-26.4846|-27.5872|-28.6553|-29.6913|-30.6975,1607.1016395155334,0.057114813847431,1.3704548570339434e-05,0.0013217391182936,0.0012241872682327,0.38,0.409,True,,5.247727|5.097712|4.906674|4.936799|4.984103|4.584444|5.859714|5.233099|4.233687|5.591491|5.248976|5.407713|5.279810|5.570969|5.089443|5.159664|5.230382|4.544230|4.988382|4.945540|4.732588|5.015739|5.304510|4.959803|5.336973|4.844984|5.222245|4.597461|4.837802|5.349730|4.920780|5.335451|5.062285|4.989439|4.802591|5.681283|5.382000|6.079666|5.130198|5.297243|5.010016|4.854427|5.791981|5.175783|5.123603|5.173976|4.960826|5.104821|4.787006|5.313026|4.870619|5.232687|5.895996|5.148051|4.844196|4.942433|5.596277|4.832417|5.234248|4.719526|5.335938|4.797964|4.881358|5.301822|5.442025|5.267175|5.083545|5.465418|4.488600|5.119217|4.852374|4.959471|5.162804|4.688407|4.761252|4.723788|5.363734|4.962282|4.826276|4.850290|5.197977|4.910068|5.474913|5.293899|5.121123|4.885703|4.987339|4.954126|5.249781|4.903737|5.200833|4.600621|5.199691|4.693486|5.651268|4.891695|4.930615|5.142401|5.039084|5.022004,
56884,6604.01,3.91748739993696,2.3070942624018205,0.0524855546211538,51.0230377752776,14.906,1.28856,1.45846,4.20332,-0.0720605,6466.0,11.0,False,-14.3393,-16.3216,96.0,5.1024,0.374431,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0002|-0.0004|-0.0008|-0.0019|-0.0043|-0.0099|-0.0229|-0.0527|-0.1184|-0.2510|-0.4813|-0.8169|-1.2328|-1.6882|-2.1494|-2.5988|-3.0312|-3.4465|-3.8462|-4.2320|-4.6055|-4.9679|-5.3203|-5.6636|-5.9986|-6.3259|-6.6461|-6.9596|-7.2670|-7.5685|-7.8646|-8.1554|-8.4414|-8.7227|-8.9996|-9.2722|-9.5408|-9.8056|-10.0666|-10.3242|-10.5783|-10.8291|-11.0768|-11.3214|-13.1704|-14.8742|-16.4609|-17.9502|-19.3567|-20.6916|-21.9636|-23.1799|-24.3464|-25.4680|-26.5487|-27.5921|-28.6012|-29.5788|-30.5272,2336.510858914324,0.1049711092423076,3.0292995672438644e-06,0.0007021944710984,0.0011595426264327,0.867,0.795,True,,5.132289|4.322785|5.052069|5.270043|5.758735|4.957976|5.224119|4.864623|4.945722|5.025694|5.185692|5.162705|5.068514|4.969058|5.324693|5.541929|4.513587|5.128174|5.138923|5.167417|4.944461|5.159094|5.766854|5.206089|5.171178|4.484813|5.298174|5.231174|5.663846|5.250411|4.927666|5.552779|4.612032|5.337102|4.426391|5.003313|5.716682|4.758890|5.389701|5.143755|5.033999|5.750014|5.025292|5.367923|5.297779|5.266007|5.258805|5.555647|5.043593|5.403401|5.735622|4.503112|4.566252|4.738935|4.738588|5.555972|5.178897|4.877559|5.789095|4.383849|5.451756|4.867046|6.102632|5.426636|4.749292|5.566033|5.293967|4.532759|5.227607|4.998858|4.813303|5.493331|4.660361|4.930050|4.640194|5.049165|4.839952|4.429758|5.094828|4.706179|4.346781|4.822132|5.040008|5.635852|5.082282|5.136517|4.640443|5.177474|5.073584|5.321253|5.104629|5.694881|4.937097|4.426715|5.481189|5.576960|5.182876|5.017778|5.041619|4.753366,
808243,5848.01,1.509838096814371,0.0407516678704853,0.064953769819241,54.65482503551018,21.173,1.07938,1.16667,4.33023,0.0103434,5964.0,14.0,False,-14.9705,-16.6781,51.0,4.4779,0.384235,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0001|-0.0002|-0.0004|-0.0008|-0.0015|-0.0028|-0.0055|-0.0108|-0.0211|-0.0412|-0.0801|-0.1525|-0.2798|-0.4841|-0.7771|-1.1520|-1.5844|-2.0434|-2.5037|-2.9508|-3.3796|-3.7896|-4.1821|-4.5591|-4.9222|-5.2731|-5.6131|-5.9433|-6.2645|-6.5775|-6.8831|-7.1818|-7.4741|-7.7604|-8.0412|-8.3167|-8.5873|-8.8533|-9.1148|-9.3723|-9.6257|-9.8754|-10.1215|-10.3641|-10.6035|-10.8397|-11.0729|-11.3032|-11.5307|-11.7555|-13.4577|-15.0319|-16.5031|-17.8886|-19.2013|-20.4511|-21.6454|-22.7907|-23.8919|-24.9533|-25.9785|-26.9705|-27.9320|-28.8653|-29.7724,3506.6029716901435,0.129907539638482,0.0001092799367362,0.0010456771454235,0.0012576771398335,12.096,12.146,True,,4.173359|4.565923|4.264948|3.939064|4.487568|4.127884|4.331367|4.410760|4.220965|4.786271|4.858649|4.908268|5.019686|4.723818|4.476157|4.363041|4.574688|4.220189|4.076295|4.533745|4.761017|4.396484|3.606668|4.246375|4.712054|4.815590|3.891814|4.622945|4.216372|5.098348|4.187629|4.826690|4.258074|4.281463|4.569532|5.046553|3.455665|3.957531|4.240765|4.858248|4.519873|3.804559|4.881649|4.343651|4.552570|4.793321|4.274382|4.640303|4.526179|5.017305|3.742858|4.429211|4.036080|4.004416|4.552416|4.351983|4.994573|4.304614|5.198507|4.636056|4.805180|4.033363|4.686966|4.400258|4.422701|4.526104|3.835303|4.447992|4.507834|4.911198|4.414033|4.707753|3.943273|3.824593|4.174691|4.741308|4.154330|5.015313|3.755887|4.553366|4.627099|4.422440|4.601712|4.530889|4.737387|4.808320|4.883830|4.845452|4.927811|4.900865|4.257353|4.223600|3.921016|4.672229|5.600748|4.492827|4.700684|4.408393|5.175435,
857186,5288.01,3.8116741907717855,2.9415644699755794,0.0479488528976173,108.01782884687296,10.513,0.796149,0.784063,4.55033,0.260487,4855.82,10.0,False,-15.8426,-17.8203,95.0,5.2741,0.356953,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0003|-0.0009|-0.0024|-0.0066|-0.0186|-0.0523|-0.1382|-0.3150|-0.5927|-0.9423|-1.3233|-1.7077|-2.0831|-2.4465|-2.7981|-3.1389|-3.4702|-3.7928|-4.1076|-4.4153|-4.7165|-5.0115|-5.3010|-5.5852|-5.8645|-6.1391|-6.4094|-6.6755|-6.9377|-7.1962|-7.4511|-7.7027|-7.9510|-8.1962|-8.4384|-8.6778|-8.9144|-9.1484|-9.3798|-9.6088|-9.8354|-11.5616|-13.1729|-14.6905|-16.1293|-17.5007|-18.8131|-20.0734|-21.2869|-22.4583|-23.5913|-24.6892|-25.7546|-26.7900|-27.7975|-28.7789,2450.645351621684,0.0958977057952346,1.4536719977808165e-06,0.0004008686619344,0.0005305415492816,0.512,0.487,True,,4.879899|4.732597|5.176407|5.152318|5.701827|4.826597|4.890982|5.285925|5.417070|5.361153|5.207517|6.069238|5.446351|4.555194|5.256797|5.256017|5.172078|5.317749|5.569643|5.613694|4.926124|5.797877|4.799933|5.521605|5.413806|5.373315|5.035011|5.688354|4.843009|5.008339|4.872485|5.084697|5.601731|5.386742|5.665188|6.124751|5.418149|5.991827|4.942535|5.114464|5.629756|5.366924|5.367815|5.697674|4.977172|4.672643|5.818271|5.592182|5.265163|5.378519|4.754295|5.381450|5.034691|5.399711|6.014432|5.103417|5.097543|5.035537|5.236294|5.329568|5.011491|4.583119|5.495686|5.573016|5.075580|4.965879|5.189311|5.412814|5.271201|4.877528|5.325140|5.219730|4.920148|5.399979|5.072967|5.701966|5.448237|5.127972|5.035200|5.432252|4.799181|6.034474|5.249435|4.779528|4.929805|5.443936|4.957538|4.959515|4.827309|5.897152|5.139582|5.702154|4.751060|5.209060|5.170466|5.464830|4.926311|5.553420|6.006704|5.814600,
909930,5287.01,4.197790169480453,3.5653843954697297,0.0750466553004824,74.46437661722369,14.683,1.17731,1.86115,3.96013,-0.0824393,5969.71,8.0,False,-16.4837,-18.4614,95.0,5.1305,0.288605,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0005|-0.0016|-0.0057|-0.0209|-0.0753|-0.2319|-0.5329|-0.9365|-1.3760|-1.8143|-2.2398|-2.6510|-3.0489|-3.4349|-3.8104|-4.1762|-4.5332|-4.8823|-5.2240|-5.5588|-5.8873|-6.2098|-6.5268|-6.8384|-7.1451|-7.4471|-7.7446|-8.0379|-8.3271|-8.6124|-8.8940|-9.1721|-9.4467|-9.7181|-9.9863|-10.2515|-10.5138|-10.7732|-11.0299|-11.2839|-13.2191|-15.0244|-16.7226|-18.3301|-19.8594|-21.3199|-22.7196|-24.0645|-25.3600|-26.6104|-27.8196|-28.9908|-30.1268|-31.2301|-32.3029,2451.2691714377474,0.1500933106009648,2.307718087137058e-06,0.0005944787270208,0.0007505359288064,0.693,0.594,True,,5.043864|5.660342|5.533164|4.750368|4.919450|4.686671|5.183147|4.947392|5.114301|5.297031|4.930450|4.866815|5.284725|5.172246|4.785942|5.177000|5.398995|5.081085|5.398640|5.801135|5.219038|5.065424|5.114136|4.710851|5.156164|4.963918|4.970923|5.135004|5.254473|5.028020|4.735017|5.509543|4.814651|5.406535|4.681729|4.910648|4.783496|4.968844|5.512585|5.212622|4.618812|5.040464|5.296065|4.849580|4.822613|5.088437|5.148563|5.261923|5.238567|4.899029|6.081629|4.973126|4.991033|5.214652|4.863518|4.838213|4.949665|5.372912|4.954546|5.559430|5.402576|5.211963|5.361099|5.305006|4.697117|5.052650|5.578023|5.130662|5.262511|5.667081|4.786168|5.357958|5.044739|5.171612|4.590834|4.879177|5.212311|4.930954|5.198145|5.058066|5.962752|4.809154|5.007908|4.961573|4.929192|5.379533|5.429940|5.269969|5.365105|5.395529|5.411060|5.031069|4.637288|5.234592|5.507672|4.940999|5.423802|4.869409|5.177300|5.161148,
913035,7815.01,5.524518681155357,4.022387695142073,0.0846202181278664,16.310142323912157,10.624,1.034,,4.15063,,5771.0,3.0,False,-8.1557,-9.8633,51.0,4.2836,0.259709,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0002|-0.0006|-0.0017|-0.0050|-0.0151|-0.0458|-0.1324|-0.3261|-0.6420|-1.0381|-1.4608|-1.8778|-2.2778|-2.6599|-3.0256|-3.3771|-3.7161|-4.0439|-4.3617|-4.6704|-4.9709|-5.2638|-5.5496|-5.8289|-6.1022|-6.3697|-6.6319|-6.8890|-7.1413|-7.3892|-7.6327|-7.8722|-8.1078|-8.3397|-8.5681|-8.7930|-9.0147|-9.2333|-9.4489|-9.6616|-9.8714|-10.0787|-10.2833|-10.4854|-10.6851|-10.8824|-12.3763|-13.7553|-15.0401|-16.2456|-17.3832|-18.4618|-19.4883|-20.4686|-21.4075|-22.3089|-23.1762|-24.0125|-24.8201|-25.6015|-26.3584,2451.7261874644087,0.1692404362557329,0.0013406819810156,0.0029695363133567,0.0034511486476042,0.605,0.545,True,,4.498255|4.360149|4.788298|4.052977|4.170680|3.801575|4.077421|4.022183|4.346493|4.401303|4.872129|4.107626|4.705197|4.374913|3.875022|4.386803|4.406908|4.459243|4.360243|4.038736|4.110080|4.233173|4.707183|4.299540|4.365056|4.401303|4.140338|3.959464|4.412280|4.397017|4.374717|4.511302|3.763664|4.252482|4.861979|4.374237|4.401303|4.406564|4.346493|4.366652|4.181137|4.151341|4.893673|4.221236|4.063153|4.208677|3.875039|4.382065|4.111658|4.039402|4.379945|4.257523|3.772977|4.340280|3.988813|4.221237,
1003831,564.01,1.651140653676432,0.1684865646602574,0.0142054512027333,82.5006518992145,6.826,0.975074,1.03587,4.38723,0.0821167,5640.8,62.0,False,-15.2594,-17.2594,100.0,5.191,0.321037,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0002|-0.0005|-0.0017|-0.0057|-0.0195|-0.0667|-0.1976|-0.4421|-0.7702|-1.1344|-1.5037|-1.8659|-2.2180|-2.5604|-2.8941|-3.2200|-3.5388|-3.8513|-4.1580|-4.4593|-4.7556|-5.0474|-5.3347|-5.6180|-5.8974|-6.1732|-6.4455|-6.7145|-6.9804|-7.2432|-7.5032|-7.7604|-8.0149|-8.2668|-8.5163|-8.7634|-9.0082|-9.2507|-9.4911|-9.7293|-9.9655|-11.7777|-13.4868|-15.1089|-16.6559|-18.1369|-19.5590|-20.9281|-22.2490|-23.5259|-24.7623|-25.9612|-27.1253|-28.2570|-29.3583|-30.4312,1518.205044189246,0.0284109024054666,2.831673128550494e-07,0.0002862119592248,0.0003899053388994,0.422,0.427,True,,4.936533|4.971966|4.559677|4.910280|4.905499|5.383013|4.850949|5.047836|4.918842|5.848258|5.099480|4.843932|5.487196|5.325359|4.883522|5.650371|5.138539|5.230005|5.316281|4.978535|5.331503|5.394886|5.601056|5.143058|4.750897|4.969602|5.047825|4.851968|4.966614|5.329945|5.835723|5.264409|5.552009|4.659656|5.204764|5.016784|5.027789|4.654237|4.996816|5.624224|4.935593|5.700805|5.273446|5.431529|5.651667|5.338197|5.132206|5.526759|5.350879|4.905450|5.228646|5.183548|4.871006|4.666729|4.875076|4.865206|5.094733|5.688897|4.732916|4.903398|5.361031|4.995616|5.520545|5.710775|4.733366|4.914033|5.994031|5.153193|4.998107|5.323658|5.442519|4.922558|5.043489|5.392744|5.063973|4.905830|5.094344|4.892851|5.243813|5.851472|5.090522|5.564100|5.136249|5.397371|5.814143|5.580673|5.454976|5.381096|5.239696|5.133531|4.636690|5.190725|5.792447|4.855050|4.958355|4.978845|5.222842|5.135611|5.654287|5.461889,
