TIC,TOI,Period,Phase,Tau,SNR,Radius_planet,Mass,Radius,logg,FEH,Teff,Number of Valid Transits,Has Visible TTVs,log10(p value),μ(SNR | null),σ(SNR | null),sm_sf_grid,_cand_idx,Multiplicity,outlier_score,Interesting,ood_pvalue,Epoch,Duration,err_Period,err_Epoch,err_Duration,Radius_planet_errp,Radius_planet_errm,passed_all_tests,failed_tests,proposed_toi,nst_samples,fold_absorbed,fold_absorbed_pure,fold_excess,fold_duty,verdict,confidence,note
7548817,,0.4694582780147556,0.1183765591848514,0.0391183376833406,9.388101389205843,2.244,1.243567853485782,1.373031297577185,4.24347275966577,0.0204695003508217,6307.291842447133,465,,-4.376733401814392,5.7574,0.240242,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0001|-0.0003|-0.0007|-0.0016|-0.0041|-0.0108|-0.0313|-0.0981|-0.2844|-0.6207|-1.0509|-1.4999|-1.9205|-2.3016|-2.6481|-2.9675|-3.2654|-3.5456|-3.8108|-4.0632|-4.3043|-4.5352|-4.7569|-4.9704|-5.1762|-5.3752|-5.5679|-5.7547|-5.9362|-6.1128|-6.2850|-6.4530|-6.6172|-6.7779|-6.9354|-7.0900|-7.2418|-7.3911|-7.5380|-7.6827|-8.7727|-9.7883|-10.7607|-11.7078|-12.6399|-13.5631|-14.4808|-15.3951|-16.3072|-17.2179|-18.1278|-19.0371|-19.9459|-20.8546|-21.7630,0,2,,False,,1683.499263756416,0.0782366753666812,1.41338404696365e-06,0.0048059863917181,0.0019913960046374,0.16,0.152,False,fold_shape,,5.630251|5.480001|6.071503|5.515838|5.674339|5.617522|5.962612|6.254048|5.705665|5.661913,0.7075172030518281,0.6685290523483367,0.0389881507034913,0.1666530957714247,not_convincing,3,"TIC 7548817 P=0.46946 d: the 'transit' is the minimum of a smooth modulation that runs across the entire phase (15% duty cycle, rounded bottom), fully traced by the stellar-variability model."
26469462,,5.148558292010802,3.8078145329345134,0.0579398949832174,9.579765890709812,2.616,1.1348037304305305,1.1413377079834863,4.374587584576231,0.0213624827836865,6129.755463869627,25,,-4.427102386652673,5.6159,0.252347,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0003|-0.0007|-0.0019|-0.0056|-0.0179|-0.0616|-0.1951|-0.4668|-0.8511|-1.2774|-1.6870|-2.0595|-2.3976|-2.7088|-2.9992|-3.2729|-3.5327|-3.7807|-4.0185|-4.2475|-4.4684|-4.6823|-4.8898|-5.0914|-5.2876|-5.4789|-5.6656|-5.8481|-6.0267|-6.2016|-6.3731|-6.5414|-6.7068|-6.8694|-7.0294|-7.1870|-7.3423|-7.4956|-7.6468|-8.7929|-9.8681|-10.8993|-11.9016|-12.8839|-13.8519|-14.8094|-15.7593|-16.7036|-17.6435|-18.5804|-19.5148|-20.4474|-21.3786|-22.3087,0,2,,False,,2205.55707873226,0.1158797899664348,1.933348462464968e-05,0.0027931133595057,0.004796263720632,0.181,0.172,True,,,5.335032|5.343625|5.999923|6.028569|5.591647|5.338762|5.710523|5.431259|5.558450|5.821470,0.111844550856864,0.0953594702524306,0.0164850806044334,0.0225072308390194,plausible,2,"TIC 26469462 P=5.14856 d: shallow (0.1 sigma) box-shaped dip with symmetric positive shoulders, sitting on the steep flank of a 0.5-amplitude rotational modulation."
27459498,,123.13246852515287,35.08317550720724,0.0104401955256776,9.783660706272874,27.122,1.1894947557877384,1.505072061696335,4.150914518492379,-0.2430604578832548,6437.663428872164,2,,-5.201211853775933,4.7812,0.133065,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0003|-0.0009|-0.0036|-0.0179|-0.1137|-0.4667|-1.0262|-1.5431|-1.9636|-2.3213|-2.6383|-2.9261|-3.1912|-3.4378|-3.6687|-3.8864|-4.0924|-4.2882|-4.4750|-4.6537|-4.8252|-4.9904|-5.1498|-5.3040|-5.4536|-5.5990|-5.7407|-5.8790|-6.0143|-6.1468|-6.2768|-6.4045|-6.5302|-6.6540|-6.7761|-6.8967|-7.0158|-7.1336|-7.2502|-7.3658|-7.4803|-8.3636|-9.2144|-10.0465|-10.8671|-11.6799|-12.4872|-13.2903|-14.0900|-14.8870|-15.6817|-16.4744|-17.2654|-18.0549|-18.8432|-19.6303,0,2,,False,,2804.988515904069,0.0208803910513552,0.000245559298355,0.0012087473878689,0.001632540342627,1.696,1.695,False,snrd|ntransits,,4.985827|4.622684|4.796094|4.858718|4.673051|4.806858|4.968914|4.605941|4.639240|4.854506,0.0608458444759476,0.0050897222748457,0.0557561222011019,0.0001695766462043,not_convincing,3,"TIC 27459498 P=123.13247 d: a single three-cadence, ~45-minute downward spike present in only one of the two epochs, absurdly short for a 123-d period, on a light curve with severe systematics in the second half."
47720259,,0.2285996123612434,0.0950730168272698,0.0185084836129802,9.921302214643298,1.163,0.7361437019359207,0.7246719181697583,4.58336514040164,-0.0007779257639123,4743.080539219307,285,,-4.160774407536565,5.1077,0.376704,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0001|-0.0002|-0.0004|-0.0007|-0.0012|-0.0022|-0.0042|-0.0080|-0.0160|-0.0331|-0.0706|-0.1473|-0.2831|-0.4893|-0.7644|-1.0890|-1.4298|-1.7563|-2.0537|-2.3215|-2.5647|-2.7887|-2.9978|-3.1947|-3.3817|-3.5603|-3.7316|-3.8966|-4.0560|-4.2104|-4.3603|-4.5062|-4.6485|-4.7874|-4.9232|-5.0562|-5.1867|-5.3147|-5.4406|-5.5644|-5.6864|-5.8066|-5.9251|-6.0421|-6.1578|-6.2720|-6.3851|-7.2489|-8.0679|-8.8587|-9.6305|-10.3889|-11.1369|-11.8768|-12.6098|-13.3371|-14.0593|-14.7769|-15.4906|-16.2007|-16.9075|-17.6115,0,2,,False,,1468.3944872086352,0.0370169672259604,1.4022429896704348e-07,0.0011371006551431,0.0007850133476836,0.083,0.08,False,sharp_freq,,5.528198|5.417833|5.747599|4.713651|4.795588|4.524742|5.050921|5.401648|4.906127|4.990233,0.9243521156951888,0.6808545663183511,0.2434975493768377,0.1619292650744504,not_convincing,2,"TIC 47720259 P=0.2286 d: a jagged, double-bottomed dip covering ~20% of a 5.5-hr period, far too long a duration for a transit, and the variability model absorbs it almost entirely."
67711670,,28.496802882399308,8.293349209172629,0.125302535489578,13.794197315183196,9.505,1.2374053132455791,1.3948396159831158,4.225964426521807,-0.0580070946596067,6345.0,2,,-4.000139490709876,8.7192,0.44793,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0002|-0.0003|-0.0008|-0.0018|-0.0045|-0.0116|-0.0316|-0.0878|-0.2273|-0.5011|-0.9110|-1.3797|-1.8177|-2.1975|-2.5294|-2.8270|-3.0999|-3.3542|-3.5938|-3.8214|-4.0390|-4.2481|-4.4499|-4.6451|-4.8347|-5.0191|-5.1989|-5.3746|-5.5463|-5.7146|-6.9510|-8.0518|-9.0567|-9.9950|-10.8908|-11.7606|-12.6153|-13.4610|-14.3013|-15.1384|-15.9735|-16.8072|-17.6402|-18.4726|-19.3047,0,2,,False,,1798.989929122174,0.250605070979156,4.878074985069461e-05,0.0028273001539955,0.0024293674794752,0.565,0.518,False,snrd|ntransits,,9.234542|7.956437|8.858051|9.456562|8.388408|8.460720|8.197422|9.094455|8.750002|8.795328,0.0397392801715995,0.0344906056055679,0.0052486745660316,0.0087941469088077,not_convincing,2,"TIC 67711670 P=28.4968 d: broad 0.25 d depression carried by only ~2 epochs, flanked by binned out-of-transit excursions (+3.5) larger than the 1.3-unit depth, with most of the raw dip absorbed by the GP."
102734241,,6.010372446013946,4.408587243274996,0.0329411539136497,8.847241450778883,1.211,0.5582755691100276,0.5881830367782372,4.645134267394891,-0.0121106160780851,3272.0,32,,-4.443267635632006,5.4954,0.196744,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0001|-0.0003|-0.0009|-0.0026|-0.0081|-0.0274|-0.0958|-0.2914|-0.6553|-1.1192|-1.5902|-2.0237|-2.4150|-2.7715|-3.1007|-3.4082|-3.6976|-3.9716|-4.2323|-4.4812|-4.7196|-4.9485|-5.1686|-5.3807|-5.5853|-5.7831|-5.9743|-6.1595|-6.3391|-6.5133|-6.6825|-6.8471|-7.0072|-7.1633|-7.3154|-7.4640|-7.6092|-7.7512|-7.8904|-8.0268|-9.0372|-9.9638|-10.8497|-11.7159|-12.5722|-13.4235|-14.2721|-15.1192|-15.9655|-16.8113|-17.6568|-18.5022|-19.3475|-20.1927|-21.0379,0,2,,False,,1687.770137773635,0.0658823078272994,2.308333791870599e-05,0.0056763638539006,0.0032543718848156,0.172,0.162,True,,,5.424274|5.621552|5.423555|5.624805|5.155402|5.801326|5.264980|5.487424|5.389481|5.761173,0.0817917439609101,0.0221477477576396,0.0596439962032705,0.0109614351554856,plausible,2,"TIC 102734241 P=6.01037 d: a ~6-bin box-shaped dip of 0.5 sigma with a flat baseline, but one epoch flares to +10 sigma just before ingress and the pre-ingress positive bump is nearly as strong as the dip itself."
107018378,,2.4347513800342173,2.346557284677132,0.0147446650434001,11.962829531027166,1.299,0.1990686664357595,0.2236594485482098,5.033630046571009,-0.1012293966872888,3202.4974010297,44,,-5.268323060334081,5.2305,0.26073,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0002|-0.0004|-0.0009|-0.0023|-0.0061|-0.0175|-0.0537|-0.1582|-0.3792|-0.7140|-1.1072|-1.4958|-1.8498|-2.1685|-2.4593|-2.7289|-2.9816|-3.2204|-3.4471|-3.6633|-3.8697|-4.0672|-4.2563|-4.4372|-4.6103|-4.7757|-4.9335|-5.0840|-5.2272|-5.3634|-5.4927|-5.6155|-5.7320|-5.8428|-5.9483|-6.0488|-6.1450|-6.2372|-6.3258|-6.4114|-6.4943|-6.5748|-7.1615|-7.7039|-8.2323|-8.7559|-9.2777|-9.7988|-10.3196|-10.8402|-11.3609|-11.8814|-12.4020|-12.9226|-13.4431|-13.9637|-14.4843,0,2,,True,,1574.1124523154572,0.0294893300868002,1.85569841574592e-06,0.0015747613769366,0.0015167020783612,0.298,0.288,True,,,4.994774|4.985993|5.333829|5.289516|5.605209|5.221971|5.714027|5.001960|4.881682|5.276397,0.0341404654385464,0.0239753885455331,0.0101650768930132,0.0121118444900052,convincing,2,"TIC 107018378 P=2.43475 d: sharp symmetric ~50 min V-shaped dip reaching -1.0 sigma over five bins on a flat baseline, self-consistent with a grazing transit."
124573851,,9.529234640846836,6.286670552743332,0.0522134070996712,10.135949194247296,2.334,0.9753406403411524,0.9520262388978528,4.466666956610568,0.1251986222485545,5586.060317566547,10,,-4.803696679275824,6.2705,0.318938,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0002|-0.0005|-0.0013|-0.0035|-0.0098|-0.0281|-0.0827|-0.2292|-0.5337|-0.9909|-1.5139|-2.0188|-2.4742|-2.8823|-3.2526|-3.5933|-3.9100|-4.2067|-4.4864|-4.7514|-5.0035|-5.2442|-5.4747|-5.6961|-5.9093|-6.1152|-6.3145|-6.5078|-6.6958|-6.8791|-7.0580|-7.2331|-7.4047|-7.5732|-7.7389|-7.9021|-8.0630|-9.2845|-10.4427|-11.5668|-12.6701|-13.7593|-14.8382|-15.9095|-16.9749|-18.0359|-19.0933|-20.1479|-21.2003|-22.2510|-23.3003|-24.3486,0,2,,True,,1550.990667803526,0.1044268141993424,2.521311004648057e-05,0.0036197981496377,0.0032657300519692,0.172,0.161,True,,,6.528256|6.423253|6.112482|6.332722|6.720159|6.092545|6.207905|5.507039|6.233803|6.547277,0.0145135210793885,0.0444671321009437,-0.0299536110215552,0.0109585730790717,convincing,2,"TIC 124573851 P=9.52923 d: well-defined ~1-sigma-deep, 0.11 d flat-bottomed dip on an otherwise flat 9.5 d fold with no secondary, though the transit floor is noticeably jagged."
154940895,,4.899225716512285,3.452853171492833,0.035372544759361,9.240665656635352,1.134,0.4297369472064258,0.4360976901244199,4.788639744638437,-0.497729415473999,3707.202283026969,56,,-4.860050366624004,5.5742,0.138202,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0003|-0.0008|-0.0029|-0.0108|-0.0451|-0.1852|-0.5338|-1.0182|-1.5133|-1.9692|-2.3831|-2.7630|-3.1162|-3.4476|-3.7611|-4.0593|-4.3442|-4.6175|-4.8804|-5.1340|-5.3793|-5.6171|-5.8480|-6.0727|-6.2918|-6.5058|-6.7151|-6.9202|-7.1214|-7.3192|-7.5137|-7.7053|-7.8942|-8.0808|-8.2651|-8.4473|-8.6277|-8.8064|-10.1796|-11.4941|-12.7710|-14.0217|-15.2534|-16.4712|-17.6788|-18.8792|-20.0744|-21.2660|-22.4549|-23.6420|-24.8277|-26.0126|-27.1967,0,2,,False,,1819.5420145645303,0.070745089518722,1.0050954136173652e-05,0.002299069912759,0.0026467397695416,0.162,0.155,True,,,5.835690|5.497538|5.795818|5.616531|5.455627|5.473467|5.551488|5.591680|5.373509|5.551104,0.0787099740961415,0.0312234256066438,0.0474865484894977,0.0144400551459149,plausible,2,"TIC 154940895 P=4.89923 d: a ~1.9-hr V-shaped dip with a jagged bottom (one bin recovers halfway) and mild post-egress ringing, transit-like but weak at SNR 9.2."
160328683,,0.2850707926138265,0.02777764,0.0350242583103347,9.284724549280012,2.871,0.5188368113403157,0.5439506239087112,4.676593834323005,0.2329162857109761,3639.146340553146,357,,-4.017245875555503,5.3217,0.323058,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0002|-0.0003|-0.0005|-0.0010|-0.0020|-0.0042|-0.0091|-0.0211|-0.0513|-0.1264|-0.2834|-0.5361|-0.8633|-1.2254|-1.5843|-1.9177|-2.2205|-2.4966|-2.7512|-2.9889|-3.2129|-3.4255|-3.6284|-3.8229|-4.0100|-4.1906|-4.3653|-4.5347|-4.6994|-4.8599|-5.0164|-5.1695|-5.3193|-5.4662|-5.6104|-5.7521|-5.8917|-6.0291|-6.1647|-6.2986|-6.4308|-6.5616|-6.6909|-6.8191|-7.8021|-8.7404|-9.6502|-10.5403|-11.4160|-12.2807|-13.1365|-13.9851|-14.8277|-15.6650|-16.4980|-17.3271|-18.1528|-18.9756|-19.7959,2,2,,False,,2174.2799969991765,0.0700485166206694,4.7395157599896803e-07,0.0018196976335341,0.0024587260672578,0.244,0.235,False,sharp_freq|fold_shape,,5.248202|5.478277|5.131776|5.324250|4.871631|5.762895|5.968282|5.219804|4.934340|5.277471,0.9509538732448242,0.8561940890071383,0.0947597842376858,0.2457232323886691,not_convincing,3,TIC 160328683 P=0.28507 d: the fold is a smooth sinusoidal ramp over the whole period with no transit shape at all; the box model is just fitting the minimum of the modulation.
