TIC,TOI,Period,Phase,Tau,SNR,Radius_planet,Mass,Radius,logg,FEH,Teff,Number of Valid Transits,Has Visible TTVs,log10(p value),μ(SNR | null),σ(SNR | null),sm_sf_grid,_cand_idx,Multiplicity,outlier_score,Interesting,ood_pvalue,Epoch,Duration,err_Period,err_Epoch,err_Duration,Radius_planet_errp,Radius_planet_errm,passed_all_tests,failed_tests,proposed_toi,nst_samples
231076038,,0.5273061405494524,0.2294577275143877,0.1217300612618784,26.73541711634143,1.781,1.38713,1.47767,4.23507,-0.179047,7113.48,1841,,-0.9532458722958876,5.49619,0.882154,-0.0001|-0.0001|-0.0003|-0.0006|-0.0013|-0.0030|-0.0073|-0.0185|-0.0473|-0.1038|-0.1832|-0.2743|-0.3698|-0.4663|-0.5622|-0.6569|-0.7500|-0.8414|-0.9313|-1.0194|-1.1061|-1.1912|-1.2749|-1.3572|-1.4381|-1.5178|-1.5962|-1.6734|-1.7495|-1.8244|-1.8983|-1.9712|-2.0430|-2.1139|-2.1838|-2.2528|-2.3210|-2.3882|-2.4546|-2.5202|-2.5850|-2.6490|-2.7123|-2.7748|-2.8366|-2.8977|-2.9581|-3.0178,4,1,2.46,False,0.0098551890587288,1325.57449364895,0.2434601225237568,8.603059451766817e-07,0.002816357910794,0.0017162990913812,0.08,0.07,True,,2618.02,5.822869|3.587536|24.848665|24.876410|25.796083|4.861188|26.582159|7.657348
74712191,,2.7445868126733903,2.51387642,0.0909239815075851,19.907589844299608,4.281,1.5418,1.33797,4.36613,-0.379387,8452.52,49,,-1.9577248334150872,14.0513,1.20594,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0008|-0.0131|-0.2725|-1.0300|-1.7371|-2.3159|-2.8133|-3.2504|-3.6373|-3.9796|-4.2808|-4.5440|-4.7733|-4.9736|-5.1504|-5.3089|-5.4538|-5.5887|-5.7165|-5.8392|-5.9582|-6.0746|-6.1892|-6.3023|-6.4144|-6.5258|-6.6366|-6.7471|-6.8572|-6.9670|-7.0767|-7.1862|-7.2956|-7.4050|-7.5143|-7.6235,0,1,1.76,False,0.0643604183427192,1520.423559166491,0.1818479630151702,3.6863096291193023e-06,0.0022680205154337,0.0016808075681044,0.208,0.177,True,spurious,4852.02,16.095979|14.749332|13.464128|15.496456|15.476797|13.162935|12.713635|12.787907|13.117891|13.448171
9006668,,8.465604649719761,5.33330688,0.0350118393447181,13.79417479842336,2.084,0.775929,0.75623,4.57174,-0.0300465,4977.1,10,,-1.3889971189949175,10.9459,1.05873,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0007|-0.0075|-0.1013|-0.6115|-1.3554|-1.9447|-2.4272|-2.8460|-3.2212|-3.5642|-3.8823|-4.1807|-4.4632|-4.7327|-4.9913|-5.2411|-5.4833|-5.7193|-5.9500|-6.1763|-6.3986|-6.6176|-6.8337|-7.0472|-7.2585|-7.4678|-7.6753|-7.8812|-8.0856|-8.2887|-8.4906|-8.6913|-8.8910|-9.0898|-9.2876|-9.4846|-9.6808|-9.8763,0,1,0.21,False,0.3855591311343523,1359.4581746878102,0.0700236786894362,9.816606055582536e-06,0.0018680008904924,0.0025973558150204,0.144,0.134,True,,238.02,12.741928|9.540235|10.955943|10.748737|9.809871|9.428745|11.360363|10.905664|12.140307|11.826924
16884216,,13.02609226227078,10.161449248181864,0.0536002424279256,13.675548595607824,1.269,0.7129730700520945,0.7042346968976658,4.592483378233142,-0.2410679934825144,4856.321805222974,5,,-1.816748815316601,12.5994,0.258563,0.0000|0.0000|0.0000|0.0000|0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0109|-1.8124|-3.7292|-5.0024|-6.0473|-6.9830|-7.8619|-8.7084|-9.5348|-10.3477|-11.1511|-11.9474|-12.7384|-13.5253|-14.3087|-15.0895|-15.8680|-16.6446|-17.4196|-18.1932|-18.9657|-19.7371|-20.5075|-21.2772|-22.0461|-22.8144|-23.5822|-24.3494|-25.1162|-25.8826|-26.6487|-27.4144|-28.1798|-28.9450|-29.7100,0,1,1.06,False,0.164320193081255,1965.964660576079,0.1072004848558512,2.3055158464293782e-05,0.0018242266655294,0.0026913797498058,0.087,0.083,False,spurious,2023.02,12.904770|12.251270|12.474078|12.970248|12.270311|12.514863|12.541234|12.956019|12.715290|12.445684
328081248,,14.010455682627516,10.674469928031156,0.0370253383788262,13.31579996461812,1.752,0.558276,0.588183,4.64513,-0.0121106,3521.0,4,,-1.9185348161936668,10.6672,0.652101,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0010|-0.0712|-1.0673|-2.0888|-2.8735|-3.5178|-4.0640|-4.5326|-4.9372|-5.2898|-5.6018|-5.8834|-6.1428|-6.3862|-6.6184|-6.8424|-7.0605|-7.2745|-7.4853|-7.6939|-7.9007|-8.1064|-8.3110|-8.5149|-8.7182|-8.9211|-9.1237|-9.3260|-9.5281|-9.7300|-9.9318|-10.1335|-10.3352|-10.5367|-10.7382|-10.9397|-11.1411,0,1,1.05,False,0.16532582461786,2780.582341718022,0.0740506767576524,5.1425130694203625e-05,0.0022589216232595,0.0025946655443858,0.178,0.167,True,,5799.02,10.204795|11.751213|10.204827|10.199078|10.395188|12.089101|10.421350|10.760912|10.203744|10.441999
39516274,,14.216043176424098,6.965096072794973,0.0583696054918284,12.586866789208525,1.378,0.724124,0.716385,4.58529,-0.00263104,4674.0,11,,-1.9087376446477804,8.8963,0.867857,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0005|-0.0074|-0.1794|-0.8921|-1.6216|-2.2239|-2.7434|-3.2070|-3.6302|-4.0224|-4.3896|-4.7353|-5.0619|-5.3708|-5.6629|-5.9390|-6.2000|-6.4470|-6.6814|-6.9047|-7.1185|-7.3244|-7.5237|-7.7178|-7.9077|-8.0943|-8.2784|-8.4604|-8.6408|-8.8201|-8.9984|-9.1759|-9.3529|-9.5295|-9.7057|-9.8816|-10.0573|-10.2329|-10.4083,0,1,0.94,False,0.1854384553499597,1990.6120008267465,0.1167392109836568,9.695094493299022e-06,0.0006241848062279,0.00078517073041,0.158,0.152,True,,5997.02,8.556380|8.785917|9.877770|10.133566|10.500080|8.092695|8.566414|8.061864|8.636635|8.782907
173612049,,9.737647920704289,9.04135811171234,0.0603780247187653,12.283228750875177,3.161,0.955558,0.966866,4.44489,-0.00210993,5672.06,8,,-1.7635956760965086,9.97438,0.599897,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0003|-0.0088|-0.3180|-1.4715|-2.3788|-3.0774|-3.6654|-4.1839|-4.6541|-5.0888|-5.4963|-5.8829|-6.2531|-6.6106|-6.9582|-7.2979|-7.6316|-7.9604|-8.2854|-8.6072|-8.9265|-9.2437|-9.5592|-9.8732|-10.1860|-10.4977|-10.8085|-11.1184|-11.4276|-11.7361|-12.0440|-12.3514|-12.6582|-12.9646|-13.2705|-13.5760|-13.8811|-14.1859,0,1,-0.06,False,0.4915526950925181,1747.7018329100683,0.1207560494375306,1.3452053874103804e-05,0.0016189608082165,0.0023949954074054,0.225,0.209,True,,1537.02,9.916199|10.001530|10.875823|9.140648|11.138684|10.197344|9.939005|9.892445|9.305459|9.616482
456560485,,8.915184146537264,0.9452885151015272,0.0724810720284217,12.185607713193898,8.777,1.05181,1.06564,4.39521,0.180452,5754.74,3,,-1.69331279861322,10.2011,0.530333,-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0002|-0.0047|-0.2002|-1.4206|-2.4254|-3.1689|-3.7872|-4.3260|-4.8078|-5.2463|-5.6509|-6.0285|-6.3845|-6.7233|-7.0486|-7.3634|-7.6700|-7.9703|-8.2659|-8.5579|-8.8471|-9.1342|-9.4196|-9.7038|-9.9870|-10.2693|-10.5510|-10.8322|-11.1130|-11.3933|-11.6733|-11.9530|-12.2325|-12.5118|-12.7908|-13.0696|-13.3483|-13.6268,0,1,-0.7,False,0.6848350764279968,3098.627898165956,0.1449621440568434,3.2649903635911065e-05,0.0011129194760647,0.0021974547145432,0.599,0.562,True,,3296.02,9.565220|9.741394|10.426751|9.860161|9.451676|10.768636|9.911827|10.486149|10.950966|10.848197
382259755,,62.705835454736864,25.77764992,0.0201343114739051,12.04645486374216,9.443,1.03064,1.0358,4.41533,-0.117659,5994.68,6,,-1.154764125978423,11.2104,0.350404,0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0000|-0.0001|-0.0055|-0.7934|-2.6122|-3.6049|-4.3247|-4.9032|-5.3949|-5.8299|-6.2269|-6.5985|-6.9531|-7.2966|-7.6326|-7.9639|-8.2920|-8.6180|-8.9426|-9.2663|-9.5894|-9.9121|-10.2345|-10.5567|-10.8788|-11.2008|-11.5227|-11.8446|-12.1665|-12.4883|-12.8101|-13.1319|-13.4537|-13.7755|-14.0973|-14.4191|-14.7409|-15.0627,0,1,1.2,False,0.1395816572807723,2989.8107363763265,0.0402686229478102,0.0001639246245221,0.0017343666278422,0.0020972303954586,0.586,0.582,False,spurious,2622.02,10.724350|11.277100|11.598297|11.387853|11.571329|11.278631|10.736871|11.280169
287328202,,0.2953923578431328,0.166864243070979,0.0526690358413502,12.033574195920965,1.505,1.12879,1.2426,4.29086,-0.0162593,6088.34,2380,,-1.8351241641911624,5.99655,1.48955,-0.0000|-0.0001|-0.0002|-0.0005|-0.0014|-0.0040|-0.0121|-0.0382|-0.1184|-0.3126|-0.6426|-1.0432|-1.4287|-1.7751|-2.0880|-2.3757|-2.6438|-2.8963|-3.1360|-3.3650|-3.5850|-3.7971|-4.0025|-4.2019|-4.3962|-4.5860|-4.7717|-4.9538|-5.1327|-5.3086|-5.4820|-5.6529|-5.8217|-5.9885|-6.1534|-6.3167|-6.4784|-6.6387|-6.7976|-6.9552|-7.1117|-7.2671|-7.4215|-7.5748|-7.7273|-7.8789|-8.0297|-8.1798,2,1,2.82,True,0.0002011263073209,1354.3016124046408,0.1053380716827004,2.9549506617375024e-07,0.0019117924984654,0.0018036354010902,0.089,0.082,True,,6707.02,3.600638|6.846555|8.340019|6.591887|6.829185|5.987071|4.902747|3.918382|7.721916
