TIC,TOI,Period,Phase,Tau,SNR,Radius_planet,Mass,Radius,logg,FEH,Teff,Number of Valid Transits,Has Visible TTVs,log10(p value),μ(SNR | null),σ(SNR | null),Epoch,Duration,err_Period,err_Epoch,err_Duration,Radius_planet_errp,Radius_planet_errm,passed_all_tests,failed_tests,nst_samples
254113311,1130.01,8.349508716161136,0.541487371184238,0.0271122070457072,82.82040424336337,9.232,0.658589,0.677067,4.59234,0.023226,4286.36,1.0,False,-4050.1086758542415,14.8757,0.497663,1657.911896286401,0.0542244140914144,inf,inf,inf,0.417,0.404,False,spurious|ntransits,15.019826|15.141377|15.549201|14.282754|15.075278|15.280131|14.854052|14.649804|15.311115|13.963550
75878355,2134.02,95.8533223683566,37.70876528236389,0.0914983444419956,266.9703112295438,7.19,0.676477,0.701701,4.56989,-0.00784576,4476.25,2.0,False,-208661.931071282,7.90349,0.264284,2047.9832042384023,0.1829966888839912,1.6949418527209278e-05,0.0002013457147408,0.0001372495453575,0.361,0.337,False,ntransits,7.967593|7.824437|8.502723|8.044984|7.889564|7.666457|8.121588|7.666457|7.942034|7.864640
21035365,6987.01,4.600422943205293,1.9386658944421944,0.0504088496617205,33.40188035339393,18.797,1.19006,1.33595,4.24693,-0.044999,6233.0,2.0,False,-229.62524485840416,7.21392,0.808691,3638.2088124774737,0.100817699323441,0.0003908436459156,0.0013827181695715,0.0011281421718864,0.991,0.892,False,ntransits,8.514278|7.300122|6.875410|7.179560|8.203913|6.644920|7.356799|7.585191|7.203901|7.538324
29919341,2422.01,18.189190196879697,12.927816309814686,0.1692913607262125,5.519667596896325,4.296,1.34231,1.96043,3.96918,0.0408486,6105.62,2.0,False,-4.985575208354235e-13,10.7827,0.750231,3948.936606097725,0.338582721452425,0.0043907619574528,0.006611927156542,0.0043849446190314,0.41,0.433,False,snrd|ntransits,11.853978|9.955245|9.774076|11.147052|10.995786|11.503805|9.774076|10.939103|10.238740|11.644672
270716565,4728.01,6.087517985836548,1.0792758103052142,0.0287103025058592,22.90254600094861,12.6,0.59916,0.636006,4.60498,0.0360981,3995.34,2.0,False,-1068.546532756328,9.30604,0.194028,3666.789903627687,0.0574206050117184,0.0004379185015714,0.0009798549797369,0.0008989153023992,0.668,0.624,False,ntransits,9.116489|9.236379|9.797708|9.375940|9.116489|9.324095|9.294925|9.375940|9.089122|9.333322
240714633,6288.01,18.01698623597283,13.865771002987994,0.0454824536075531,18.85327301611955,8.879,0.892274,0.8733,4.50729,0.0210596,5400.0,2.0,False,-1135.1140404225278,6.98233,0.164352,3598.463766638217,0.0909649072151062,0.0020580185514222,0.0037468259395373,0.002081797634636,0.737,0.701,False,ntransits,6.817986|7.071193|7.317847|7.181842|6.910836|6.887471|7.034660|6.975347|6.926158|6.811311
443666343,3500.01,7.298717387176087,3.0294962217290715,0.1145787714994539,17.927931330449752,3.534,1.03224,0.993992,4.45155,0.232051,5645.92,10.0,False,-6.024446995872872,15.2552,0.560934,2312.216164823922,0.2291575429989078,1.816536788993421e-05,0.0027478805507835,0.002892021712147,0.195,0.178,False,snrd,15.826354|14.792223|15.634156|15.288248|16.184881|15.388179|14.132794|15.107502|15.451466|14.746194
125563127,6443.01,9.970117722971032,9.970532878692664,0.065590577365171,17.424595144938404,11.752,1.28306,1.45162,4.20575,-0.0705506,6453.0,2.0,False,-12.031883492284631,5.37426,1.71055,3700.131144458896,0.131181154730342,0.0013173825343266,0.0018819399016481,0.0036602935879188,0.615,0.592,False,ntransits,5.088151|5.535320|5.825166|5.841246|6.679909|6.595280|6.326473|6.330670|6.495739|5.827464
259708416,6358.01,5.381337609560089,4.220131945144103,0.0728444746669608,18.001241340160462,15.56,1.29186,1.46157,4.20265,-0.0728096,6476.4,2.0,False,-43.94223381996302,7.20848,0.772412,3640.4903750446274,0.1456889493339216,0.0009279813563918,0.0028020377480554,0.0029136730307002,0.835,0.744,False,ntransits,7.624473|6.835401|7.836371|6.965287|6.701473|7.003352|8.912740|7.131070|6.273426|7.392840
188128470,6519.01,10.393477588659268,7.195889765390101,0.202411940564303,8.786540047071774,15.929,0.784669,0.768085,4.56094,0.00455028,4953.5,2.0,False,-0.3566620498767692,8.66608,0.796357,3754.364523462708,0.404823881128606,0.0030498776631589,0.0021437536286998,0.0030396476398942,6.622,6.464,False,ntransits,8.791020|9.205664|9.205664|9.032688|7.073323|9.205664|7.134930|9.032688|9.205664|8.773446
242190195,4944.01,4.075025828579786,3.861354367135751,0.0219432577527577,12.717706879168952,10.072,0.910541,0.879889,4.50369,-0.218076,5715.36,2.0,False,-147.08432881844095,6.18626,0.25252,3072.610057772834,0.0438865155055154,0.0006259975939403,0.0017748887904363,0.0020643843064428,0.714,0.691,False,ntransits,6.397832|6.425080|6.176899|6.466396|6.169669|6.670444|6.002103|6.466396|6.429305|6.164707
326809267,6301.01,7.143352957556195,3.4161345853143312,0.1167726616377187,16.461583370091525,14.981,1.32623,1.48633,4.20169,-0.0793916,6604.0,2.0,False,-50.8449719153807,6.46319,0.663794,3613.980347198287,0.2335453232754374,0.0015407608065903,0.0033998353775903,0.0031274755007212,0.803,0.714,False,ntransits,6.051904|6.298334|7.089091|6.841882|5.915433|7.222431|7.669216|7.194877|6.633288|6.091821
415875608,6331.01,5.492521647426692,2.865903693796308,0.063336435144942,7.5925222505768515,7.543,0.981423,0.975696,4.44845,0.0265197,5684.0,1.0,False,-1.5021794663923689,6.83885,0.405267,3613.430303263068,0.126672870289884,inf,inf,inf,7.27,7.196,False,ntransits,6.942108|6.754595|6.699935|6.942108|6.956152|6.665918|7.316497|7.533512|5.965779
23725901,4743.01,6.219680202698717,0.1092347094397044,0.0681662223838526,14.58195669484371,20.227,1.68539,1.9773,4.06309,-0.241731,7966.28,2.0,False,-8.769675539478117,6.3281,1.39634,3666.1875186688585,0.1363324447677052,0.0015186252965797,0.0027428604218528,0.0030084467598232,1.082,1.018,False,ntransits,7.074670|6.922256|6.360577|8.231008|7.055082|6.278208|5.954353|6.729491|7.001046|5.658445
